author_id,username,followers,tweet_id,label,lable_followers,score,object_type,created,active_type,score_current_time
2446024556,Tradermayne,517906,1802584607029866932,blknoiz06,706493,-30,user,1718604635000,comment,-30.0
2446024556,Tradermayne,517906,1887155730769195209,blknoiz06,706493,-20,user,1738767962000,comment,-25.0
1501502506538438657,UnicornBitcoin,125113,1905534129090834719,Uniswap,1415207,20,user,1743149714000,comment,20.0
1501502506538438657,UnicornBitcoin,125113,1905534129090834719,cz_binance,9992682,-60,user,1743149714000,comment,-60.0
1501502506538438657,UnicornBitcoin,125113,1905534129090834719,jason_chen998,85555,0,user,1743149714000,comment,0.0
869659857590288384,WazzCrypto,51224,1886050518545412181,ErikVoorhees,735204,-50,user,1738504459000,comment,-50.0
997471671723483136,WhitGibbs,20018,1883173650561630367,QDagelet,6614,50,user,1737818560000,comment,50.0
242192192,WillisP90,2876,1752025848692281395,graildoteth,81378,-50,user,1706550488000,comment,-50.0
1219336232137830409,XKalynd,4529,1862554253367149020,VECTORDOTFUN,61128,80,user,1732902513000,comment,80.0
1219336232137830409,XKalynd,4529,1862554253367149020,_ilmoi,28418,70,user,1732902513000,comment,70.0
1406338975946706946,ZeMirch,17355,1886061817434124695,satoshiheist,6624,-80,user,1738507153000,comment,-80.0
1370479673818427403,Zeneca,394150,1789052229950886008,DeeZe,274844,50,user,1715378265000,comment,50.0
1370479673818427403,Zeneca,394150,1789052229950886008,wardaddycapital,14677,80,user,1715378265000,comment,80.0
838438099520716801,ZeroHedge_,146039,1761939466673868830,IncomeSharks,634415,0,user,1708914078000,comment,0.0
838438099520716801,ZeroHedge_,146039,1761939466673868830,haseeb,53909,100,user,1708914078000,comment,100.0
843491054385008646,_0xaryan,6131,1891017043584933918,aeyakovenko,561205,0,user,1739688571000,comment,0.0
1447083861905608706,__lostin__,2086,1892086685124399610,asgardfi,1518,80,user,1739943593000,comment,80.0
1447083861905608706,__lostin__,2086,1892086685124399610,phtevenstrong,108322,70,user,1739943593000,comment,70.0
1404251363295469570,_dogdad,21052,1905475951846191242,heyibinance,403543,-20,user,1743135843000,comment,-20.0
1404251363295469570,_dogdad,21052,1905475951846191242,jason_chen998,85555,0,user,1743135843000,comment,0.0
813682183,_serpepi,1797,1692461605408141736,frankdegods,417648,50,user,1692349265000,comment,50.0
1470958472409792515,a1lon9,155908,1904012439634473266,0xRiver8,17908,-50,user,1742786915000,comment,-50.0
1073915070961328128,abetrade,183123,1538229969071091715,HsakaTrades,593686,0,user,1655577578000,comment,0.0
1073915070961328128,abetrade,183123,1538229969071091715,cobie,771961,0,user,1655577578000,comment,0.0
3010606491,abovethebias,4343,1113531477734641664,koreanjewcrypto,145293,-30,user,1554321567000,comment,-30.0
3010606491,abovethebias,4343,1113531477734641664,krugermacro,208238,-20,user,1554321567000,comment,-20.0
3010606491,abovethebias,4343,1113531477734641664,shadownomics,8342,-20,user,1554321567000,comment,-20.0
2327407569,aeyakovenko,561205,1737330220498383317,0xrwu,29751,60,user,1703046777000,comment,60.0
2327407569,aeyakovenko,561205,1894157203830894828,AltcoinPsycho,518319,40,user,1740437243000,comment,40.0
